"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_NAME","SiteId","SiteName","SiteTypeName","SiteFunctionName","PhysicalAddressLine1","PhysicalAddressLine2","PhysicalAddressCity","PhysicalAddressStateCode","PhysicalAddressStateName","PhysicalAddressPostalCode","PhysicalAddressCountyName","PhysicalAddressCountry"
6,3/31/2026 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",40302,"Slidell","Branch Office","ATM","1512 Gause Blvd","","Slidell","LA","Louisiana","70458","Saint Tammany","United States"
6,3/31/2026 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",41368,"Mandeville","Branch Office","ATM","238 Lafitte St","","Mandeville","LA","Louisiana","70448","Saint Tammany","United States"
6,3/31/2026 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",41400,"St. James","Branch Office","ATM","1901 Highway 3125","","Lutcher","LA","Louisiana","70071-5633","Saint James","United States"
6,3/31/2026 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",41419,"Lockport","Branch Office","ATM","400 Crescent Ave","","Lockport","LA","Louisiana","70374","Lafourche","United States"
6,3/31/2026 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",51675,"Bogalusa","Branch Office","ATM","205 Arkansas Ave","","Bogalusa","LA","Louisiana","70427","Washington","United States"
6,3/31/2026 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",51676,"West Jefferson","Branch Office","ATM","1111 Medical Center Blvd","Ste 118 N","Marrero","LA","Louisiana","70072","Jefferson","United States"
12,3/31/2026 0:00:00,11,"FRANKLIN TRUST",46816,"Main Office 632","Branch Office","ATM","632 Franklin Ave","","Hartford","CT","Connecticut","06114","Capitol","United States"
13,3/31/2026 0:00:00,12,"EFCU FINANCIAL",39114,"Monterrey Branch","Branch Office","ATM","3663 Monterrey Dr","","Baton Rouge","LA","Louisiana","70814-2920","East Baton Rouge","United States"
13,3/31/2026 0:00:00,12,"EFCU FINANCIAL",39122,"Shenandoah Branch","Branch Office","ATM","15026 Market St","","Baton Rouge","LA","Louisiana","70817","East Baton Rouge","United States"
13,3/31/2026 0:00:00,12,"EFCU FINANCIAL",39127,"Refinery Main Gate Branch","Branch Office","ATM","3861 Scenic Hwy","","Baton Rouge","LA","Louisiana","70805","East Baton Rouge","United States"
13,3/31/2026 0:00:00,12,"EFCU FINANCIAL",39187,"Zachary Branch","Branch Office","ATM","1804 Church St","","Zachary","LA","Louisiana","70791","East Baton Rouge","United States"
13,3/31/2026 0:00:00,12,"EFCU FINANCIAL",39210,"Burnside Branch","Branch Office","ATM","1508 S Burnside Ave","","Gonzales","LA","Louisiana","70737-4405","Ascension","United States"
13,3/31/2026 0:00:00,12,"EFCU FINANCIAL",49144,"Prairieville Branch","Branch Office","ATM","17235 Old Jefferson Hwy","","Prairieville","LA","Louisiana","70769","Ascension","United States"
13,3/31/2026 0:00:00,12,"EFCU FINANCIAL",51079,"Denham Springs Branch","Branch Office","ATM","7822 Magnolia Beach Rd","","Denham Springs","LA","Louisiana","70726","Livingston","United States"
13,3/31/2026 0:00:00,12,"EFCU FINANCIAL",51080,"Perkins Branch","Branch Office","ATM","9210 Perkins Rd","","Baton Rouge","LA","Louisiana","70810","East Baton Rouge","United States"
22,3/31/2026 0:00:00,17,"WATERBURY CONNECTICUT TEACHERS",31185,"Middlebury - Main","Corporate Office","ATM","773 Straits Tpke","","Middlebury","CT","Connecticut","06762-2852","Naugatuck Vly","United States"
22,3/31/2026 0:00:00,17,"WATERBURY CONNECTICUT TEACHERS",31202,"Danbury Branch","Branch Office","ATM","110 Federal Rd","","Danbury","CT","Connecticut","06811-4077","Western CT","United States"
28,3/31/2026 0:00:00,21,"CENTRIS",41054,"Council Bluffs Branch","Branch Office","ATM","2825 Avenue G","","Council Bluffs","IA","Iowa","51501","Pottawattamie","United States"
28,3/31/2026 0:00:00,21,"CENTRIS",41084,"South Omaha Branch","Branch Office","ATM","3575 L St","","Omaha","NE","Nebraska","68107","Douglas","United States"
28,3/31/2026 0:00:00,21,"CENTRIS",41116,"Bellevue Branch","Branch Office","ATM","2207 Pratt Ave","","Bellevue","NE","Nebraska","68123","Sarpy","United States"
28,3/31/2026 0:00:00,21,"CENTRIS",41125,"LaVista Branch","Branch Office","ATM","8250 S 99th St","","LaVista","NE","Nebraska","68128-4261","Sarpy","United States"
28,3/31/2026 0:00:00,21,"CENTRIS",41133,"Dodge Branch","Branch Office","ATM","343 N 114th St","","Omaha","NE","Nebraska","68154","Douglas","United States"
28,3/31/2026 0:00:00,21,"CENTRIS",41149,"117th Branch","Branch Office","ATM","11718 M Cir","","Omaha","NE","Nebraska","68137","Douglas","United States"
28,3/31/2026 0:00:00,21,"CENTRIS",41160,"Maple Location","Branch Office","ATM","15480 Spaulding Plz","","Omaha","NE","Nebraska","68116","Douglas","United States"
28,3/31/2026 0:00:00,21,"CENTRIS",41193,"168th Branch","Branch Office","ATM","2727 S 168th St","","Omaha","NE","Nebraska","68130","Douglas","United States"
28,3/31/2026 0:00:00,21,"CENTRIS",41333,"North Platte Branch","Branch Office","ATM","902 S Jeffers St","","North Platte","NE","Nebraska","69101-6029","Lincoln","United States"
28,3/31/2026 0:00:00,21,"CENTRIS",50796,"North Omaha Branch","Branch Office","ATM","4804 Ames Ave","","Omaha","NE","Nebraska","68104-2335","Douglas","United States"
28,3/31/2026 0:00:00,21,"CENTRIS",50797,"East Council Bluffs Branch","Branch Office","ATM","518 E Broadway","","Council Bluffs","IA","Iowa","51503","Pottawattamie","United States"
28,3/31/2026 0:00:00,21,"CENTRIS",50805,"North Omaha Branch","Branch Office","ATM","6572 Ames Ave","","Omaha","NE","Nebraska","68104","Douglas","United States"
42,3/31/2026 0:00:00,29,"FD COMMUNITY",49088,"Watertown Avenue","Corporate Office","ATM","601 Watertown Ave","","Waterbury","CT","Connecticut","06708","Naugatuck Vly","United States"
42,3/31/2026 0:00:00,29,"FD COMMUNITY",49089,"Meriden Rd","Branch Office","ATM","281 Meriden Rd","","Waterbury","CT","Connecticut","06705","Naugatuck Vly","United States"
42,3/31/2026 0:00:00,29,"FD COMMUNITY",49090,"Woodruff Ave","Branch Office","ATM","48 Woodruff Ave","","Watertown","CT","Connecticut","06795","Naugatuck Vly","United States"
47,3/31/2026 0:00:00,30,"FARGO PUBLIC SCHOOLS",31630,"Fargo Public Schools FCU","Branch Office","ATM","1462 Broadway N","","Fargo","ND","North Dakota","58102","Cass","United States"
47,3/31/2026 0:00:00,30,"FARGO PUBLIC SCHOOLS",31662,"Fargo Public Schools FCU","Corporate Office","ATM","1609 32nd Ave S","","Fargo","ND","North Dakota","58103","Cass","United States"
48,3/31/2026 0:00:00,31,"EAGLE EXPRESS",1,"Main Office","Corporate Office","ATM","567 S State St","","Jackson","MS","Mississippi","39201","Hinds","United States"
48,3/31/2026 0:00:00,31,"EAGLE EXPRESS",3,"Post Office","Other","ATM","401 E South St","","Jackson","MS","Mississippi","39205","Hinds","United States"
48,3/31/2026 0:00:00,31,"EAGLE EXPRESS",5,"McCoy Federal Building-ATM","Other","ATM","100 W Capitol St","","Jackson","MS","Mississippi","39269-1601","Hinds","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",39625,"Hoosick VRC","Branch Office","ATM","256 Hoosick St","","Troy","NY","New York","12180","Rensselaer","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",39633,"Kirkwood","Branch Office","ATM","4 Crescent Dr","","Kirkwood","NY","New York","13795","Broome","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",40271,"Wolf Rd","Branch Office","ATM","40 Wolf Rd","","Albany","NY","New York","12205","Albany","United States"
