"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,3/31/2026 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
6,3/31/2026 0:00:00,7,0,0,0,0,0,0,996920,0,0,0,0,0,0,0,35642555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15089,0,0,5053595,41767765,0,0,0,0,59606,19,1,1,6,0,0,1,1,3,0,4,1,5,8,0,0,0,15,20,199,226,0,0,0,0,0,0,651
12,3/31/2026 0:00:00,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2767210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409805,0,0,0,3205847,0,0,0,0,28832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,115,0,0,0,0,0,0,24
13,3/31/2026 0:00:00,12,0,0,0,0,0,0,66005388,0,0,0,0,0,0,0,34462291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37935939,138620425,0,0,0,0,216807,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,3,2076,1765,0,0,0,0,0,0,913
16,3/31/2026 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40661,0,0,0,74566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,3
19,3/31/2026 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
22,3/31/2026 0:00:00,17,0,0,0,0,0,0,94478272,0,0,0,0,0,0,0,50821642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499666,0,0,40980,145875738,0,0,0,0,35178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2753,0,0,0,0,0,0,105
26,3/31/2026 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813467,0,0,0,0,121780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,54
28,3/31/2026 0:00:00,21,0,0,0,0,0,0,97490587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16982711,0,0,0,0,9662487,0,0,475175,169202289,0,0,0,0,61574040,402,10,0,8,0,0,0,0,219,10,277,10,285,117,0,14,0,176,412,2092,4350,13,0,0,0,0,0,2897
42,3/31/2026 0:00:00,29,0,0,0,0,0,0,17046681,0,0,0,0,0,0,0,9442211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27316603,0,0,0,0,827711,7,0,0,0,0,0,1,0,5,0,6,0,6,1,0,0,0,1,7,199,587,0,0,0,0,0,0,36
