"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
1,3/31/2026 0:00:00,2,0,0,65304,0,1,0,34182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2155,0,0,0,2155,0,0,0,0,0,11877102,0,0,0,0,0,0,0,0,03/01/2023,7500,13376472,0,0,0,0,0,0,0,0,0,0,0,13918,0,0,0,0,0,0,0,0,0,0
6,3/31/2026 0:00:00,7,0,0,3977859,0,1,0,2752467,0,0,0,0,0,0,0,0,0,0,0,0,7718764,6924621,226545,3468220,0,18338150,0,0,0,0,0,0,0,-655119,0,914510,0,0,-15885,898625,0,0,0,0,43089,263270842,0,0,0,0,0,0,0,0,01/01/2023,0,288269062,0,0,0,0,0,0,0,0,0,0,0,558974,0,0,0,0,0,215,4878091,0,0,0
12,3/31/2026 0:00:00,11,0,294350,774609,384778,1,0,1249675,0,0,325000,0,0,325000,0,0,0,0,0,0,0,0,0,0,0,0,1744599,244914,482985,0,0,2472498,0,0,0,151016,0,0,0,151016,0,0,0,0,0,64419827,0,0,0,0,0,0,0,0,04/01/2023,0,70566623,0,0,0,0,0,0,0,0,0,0,0,288064,0,0,0,0,0,0,0,0,0,0
13,3/31/2026 0:00:00,12,0,95986409,3443303,3906967,1,0,4154940,0,0,0,0,0,0,0,0,0,0,0,0,95959,26851,0,0,0,122810,0,0,0,0,0,0,0,-4024,0,944677,0,0,0,944677,0,0,0,0,0,1174171563,0,0,0,0,0,0,0,0,01/01/2023,2278236,1282088093,0,0,0,0,0,0,0,0,0,0,0,1711295,0,0,0,0,0,0,0,0,0,0
16,3/31/2026 0:00:00,14,0,0,89167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7870884,0,0,0,0,0,0,0,0,,0,9158411,0,0,0,0,0,0,0,0,0,0,0,6422,0,0,0,0,0,0,0,0,0,0
19,3/31/2026 0:00:00,16,0,0,30,0,1,0,30588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7458000,489000,0,0,0,7947000,0,0,0,0,0,0,0,0,0,0,0,0,0,7350728,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,10613824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2026 0:00:00,17,0,23446591,313585,480777,1,0,1560685,5189523,0,0,0,0,5189522,0,0,0,0,0,0,1688668,2063692,12983373,4436563,0,21172297,0,0,0,0,0,0,0,-1369772,0,120000,0,0,0,120000,0,0,0,0,0,301626232,0,0,0,0,0,0,0,0,12/01/2023,564939,361083545,0,0,0,0,0,0,0,0,0,0,0,444280,0,-15129,0,0,0,0,0,0,0,0
26,3/31/2026 0:00:00,19,0,0,237614,0,1,0,45107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19948751,0,0,0,0,0,0,0,0,01/01/2023,53172,22279688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2026 0:00:00,21,0,21491090,7108339,0,1,0,24589259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10395328,13509701,710632,24615660,0,0,0,0,0,0,0,-9048372,0,6656753,0,0,0,6656753,0,0,0,0,0,1357572432,5,147253,56549,0,0,0,1,1349,07/01/2023,5646897,1486010293,0,0,0,0,0,0,0,0,0,0,0,1898154,0,0,0,0,0,0,0,0,0,0
42,3/31/2026 0:00:00,29,0,0,859184,0,1,0,519601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11340000,8672000,5328000,0,0,25340000,0,0,0,105000,0,0,0,105000,0,0,0,0,0,142127937,0,0,0,0,0,0,0,0,10/01/2023,100174,159891725,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0
47,3/31/2026 0:00:00,30,0,0,275265,0,1,0,116913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50592303,0,0,0,0,0,0,0,0,02/01/2023,0,57648117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3/31/2026 0:00:00,31,0,0,743875,0,1,0,425558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800000,2000000,2000000,0,0,7800000,0,0,0,117171,0,0,1331,118502,0,0,0,0,3654,54063482,0,0,0,0,0,0,0,0,Fiscal Year 2022,166396,66830506,0,0,0,0,0,0,0,0,0,0,0,119849,0,0,0,0,0,0,0,0,0,0
51,3/31/2026 0:00:00,32,0,867325155,32529156,13298220,1,0,68579408,60785,0,0,6078676,4608814,10748276,0,0,0,0,0,0,1710182,54621790,105445057,446833053,34501385,643111467,92009350,26092272,35635582,30964731,0,184701935,0,-134289173,0,6738403,-234,0,-116925,6621244,0,0,0,0,278871,8466915011,1,21188,21188,0,0,0,1,21188,01/01/2023,23240646,9199845535,0,0,0,0,0,0,0,0,0,0,0,15308467,0,-2273225,-121552,0,0,0,0,0,0,-4121
53,3/31/2026 0:00:00,33,0,0,634290,0,1,0,355550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,56882108,0,0,0,0,0,0,0,0,01/01/2023,0,62727692,0,0,0,0,0,0,0,0,0,0,0,56565,0,0,0,0,0,0,0,0,0,0
60,3/31/2026 0:00:00,35,0,77149526,1677774,2054003,1,0,4796303,0,0,0,0,0,0,0,0,0,0,0,0,11888075,11990218,17428033,8757849,0,50064176,0,0,0,0,0,0,0,-2810501,0,875700,0,0,0,875700,0,0,0,0,0,473052666,0,0,0,0,0,0,0,0,04/01/2023,663863,526570715,0,0,0,0,0,0,0,0,0,0,0,1067651,0,0,0,0,0,60,122879,0,0,0
77,3/31/2026 0:00:00,41,0,5981084,627287,0,1,0,976902,0,0,0,0,0,0,0,0,0,0,0,0,2071093,10345628,11786566,3327517,0,27530804,0,0,0,0,0,0,0,-2225847,0,162831,0,0,0,162831,0,0,0,0,0,193435110,0,0,0,0,0,0,0,0,07/01/2023,-250000,210054331,0,0,0,0,0,0,0,0,0,0,0,59605,0,0,0,0,0,0,0,0,0,0
79,3/31/2026 0:00:00,43,0,70591687,4874578,1528396,1,0,2985156,0,0,0,0,0,0,0,0,0,0,0,0,17003120,35238291,20916388,34971444,2082260,110211504,0,0,0,0,0,0,0,-7787789,0,340000,0,0,0,340000,0,0,0,0,92,850520803,0,0,0,0,0,0,0,0,01/01/2023,1317646,938321193,0,0,0,0,0,0,0,0,0,0,0,1380201,0,0,0,0,0,0,0,0,0,0
82,3/31/2026 0:00:00,46,0,68062519,702893,0,1,0,2134153,0,0,0,0,0,0,0,0,0,0,0,0,6059285,19983810,0,0,0,26043095,5580912,13475000,0,0,0,19055912,0,-39031,0,0,0,0,0,0,0,0,0,0,0,287538233,0,0,0,0,0,0,0,0,01/01/2023,365808,331815074,0,0,0,0,0,0,0,0,0,0,0,325673,0,0,0,0,0,2,3020000,0,0,0
90,3/31/2026 0:00:00,49,0,0,0,0,1,0,53676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484372,0,0,0,0,0,0,0,0,03/01/2023,58827,7518520,0,0,0,0,0,0,0,0,0,0,0,2110,0,0,0,0,0,0,0,0,0,0
