"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_PG0001","ACCT_PP0037","ACCT_PP0038","ACCT_PP0039","ACCT_PP0040","ACCT_PP0041","ACCT_PP0042","ACCT_PP0043","ACCT_PP0044","ACCT_PP0045","ACCT_PP0046","ACCT_PP0047","ACCT_PP0048","ACCT_PR0001","ACCT_PR0002","ACCT_PR0003","ACCT_PR0004","BoardAsianAmerican","BoardBlackAmerican","BoardHispanicAmerican","BoardMinorityStatus","BoardNativeAmerican","CurMemAsianAmerican","CurMemBlackAmerican","CurMemHispanicAmerican","CurMemMinorityStatus","CurMemNativeAmerican","EligibleMinorityStatus","FOMAsianAmerican","FOMBlackAmerican","FOMHispanicAmerican","FOMMinorityStatus","FOMNativeAmerican","MemberMinorityStatus"
1,3/31/2026 0:00:00,2,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
6,3/31/2026 0:00:00,7,"5493006GFSNOUCCL1W91","1","1","1","1","1","0","0","0","1","0","1","0","1","1","1","Mar  2 2026  6:00AM","1","1","1","1","","","","","","","","","","","","",""
12,3/31/2026 0:00:00,11,"254900TYE85Q9OTQ5038","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","Feb 24 2025  5:00AM","","","","","","","","","","","","","","","","",""
13,3/31/2026 0:00:00,12,"549300U18MOAH5F95P15","1","1","0","0","0","0","0","0","1","0","1","0","1","1","1","Feb 24 2026  6:00AM","","","","","","","","","","","","","","","","",""
16,3/31/2026 0:00:00,14,"","1","0","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
19,3/31/2026 0:00:00,16,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","1","1","","","1","1","1","","","","","","1","",""
22,3/31/2026 0:00:00,17,"5493001BJFQ0EM41N379","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 12 2025  5:00AM","","","","","","","","","","","","","","","","",""
26,3/31/2026 0:00:00,19,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
28,3/31/2026 0:00:00,21,"549300TTNSX94TR06G13","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 24 2025  6:00AM","","","","","","","","","","","","","","","","",""
42,3/31/2026 0:00:00,29,"2549001jpw8twjymne74","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2025  5:00AM","","","","","","","","","","","","","","","","",""
47,3/31/2026 0:00:00,30,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
48,3/31/2026 0:00:00,31,"","1","1","0","0","0","0","0","1","1","0","0","1","1","","","","","","","","","","","","","","","","","","","",""
51,3/31/2026 0:00:00,32,"5493008RNHC5I1E3IZ56","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","Feb 19 2026  5:00AM","","","","","","","","","","","","","","","","",""
53,3/31/2026 0:00:00,33,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
60,3/31/2026 0:00:00,35,"549300REHZOIYMHDP161","1","1","0","0","0","0","0","0","1","0","1","0","1","1","1","Jan 28 2025  6:00AM","","","","","","","","","","","","","","","","",""
77,3/31/2026 0:00:00,41,"549300VTMXH07KUIB722","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 14 2025  6:00AM","","","","","","","","","","","","","","","","",""
79,3/31/2026 0:00:00,43,"54930027GUR70U427Y19","1","0","0","0","1","1","0","0","1","0","1","0","1","1","1","Feb 17 2026  6:00AM","","","","","","","","","","","","","","","","",""
82,3/31/2026 0:00:00,46,"5493oogmxzwxnos1us34","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 14 2025  5:00AM","","","","","","","","","","","","","","","","",""
